timestamp,location_reported,raw_message,category_label,severity_score
2025-10-01 00:26:00,Rajpura Toll,zero visibility near rajpura toll. fog is pura. driving slow.,smog_fog,7
2025-10-01 01:30:00,Amritsar Gate,zr vsblty pss amrtsr gt. dhnd s bht hvy. drvng slw.,smog_fog,9
2025-10-01 01:32:00,Jalandhar Bypass,crossed jalandhar bypass. road clear. reaching on time.,clear,0
2025-10-01 01:38:00,Sirhind Mandi,stray cows on rod near sirhind mandi. risk of accident. blocked.,rural_hazard,6
2025-10-01 01:55:00,Moga Grain Market,zero visibility near moga grain market. smog is pura. driving slow.,smog_fog,9
2025-10-01 02:51:00,Bathinda Refinery,zero visibility near bathinda refinery. dhund is very bad. driving slow.,smog_fog,8
2025-10-01 05:23:00,Amritsar Gate,zero visibility near amritsar gate. slippery rd is total. driving slow.,smog_fog,8
2025-10-01 05:39:00,NH-44,zero visibility near nh-44. heavy rain is boht heavy. driving slow.,smog_fog,8
2025-10-01 05:42:00,Khanna Mandi,cattle on road nr khanna mandi. risk of accident. khada hai.,rural_hazard,4
2025-10-01 05:57:00,Canal Road,zero visibility pass canal road. fog is boht heavy. driving slow.,smog_fog,8
2025-10-01 06:13:00,Raikot,zr vsblty nr rkt. wtrlggng s dd. drvng slw.,smog_fog,8
2025-10-01 06:24:00,Ferozepur Road,cattle on road near ferozepur road. risk of accident. blocked.,rural_hazard,6
2025-10-01 07:35:00,Amritsar Gate,amritsar gate stuck by dharna. total jam. avoid this route.,protest_dharna,10
2025-10-01 09:00:00,Ferozepur Road,crossed ferozepur road. road clear. reaching on time.,clear,0
2025-10-01 09:17:00,Rajpura Toll,my canter stopped at rajpura toll. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-01 09:30:00,Amritsar Gate,crossed amritsar gate. road clear. reaching on time.,clear,0
2025-10-01 09:48:00,GT Road,my trolley stopped at gt road. engine heat. need mechanic.,vehicle_breakdown,2
2025-10-01 11:14:00,Raikot,my trolley stopped at raikot. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-01 12:23:00,Machhiwara,total traffic. gaadi jammed near machhiwara due to slow gate entry.,harvest_traffic,4
2025-10-01 15:55:00,Canal Road,crossed canal road. road clear. reaching on time.,clear,0
2025-10-01 16:07:00,NH-44,pura traffic. gaadi stuck near nh-44 due to labor shortage.,harvest_traffic,6
2025-10-01 16:44:00,Ferozepur Road,crssd frzpr rd. rd clr. rchng n tm.,clear,0
2025-10-01 17:05:00,Rajpura Toll,crssd rjpr tll. rd clr. rchng n tm.,clear,0
2025-10-01 17:20:00,Raikot,my tanker stopped at raikot. tyre burst. need mechanic.,vehicle_breakdown,2
2025-10-01 17:49:00,Phillaur,my gaadi stopped at phillaur. tyre burst. need mechanic.,vehicle_breakdown,2
2025-10-01 18:06:00,Ludhiana Transport Nagar,ludhiana transport nagar blocked by union block. total jam. avoid this route.,protest_dharna,10
2025-10-01 19:19:00,Amritsar Gate,crossed amritsar gate. road clear. reaching on time.,clear,0
2025-10-01 19:55:00,Samrala,my canter stopped at samrala. clutch plate gya. need mechanic.,vehicle_breakdown,2
2025-10-01 20:45:00,Raikot,zero visibility pass raikot. fog is pura. driving slow.,smog_fog,8
